Reaction name,Reaction formula
HPDECECOAm,
B3GNT313g,
FUT17g,
HC02195c,
HC02196c,
Tr_EX_ile_L[bdG]_[bd],
Tr_EX_pro_L[bdG]_[bd],
3HPPPNOHGLUCc,
HMR_1748,
HMR_1750,
HMR_1754,
Tr_EX_ile_L[bpP]_[bp],
Tr_EX_pro_L[bpP]_[bp],
Tr_EX_ile_L[e]_[bc],
Tr_EX_pro_L[e]_[bc],
Tr_EX_ile_L[bpS]_[bp],
Tr_EX_pro_L[bpS]_[bp],
CYSAMOe[luI],
DASCBR,
DPMVDc,
PMEVKc,
UGT1A10r,
